,congOrgs,match
12770,Longleaf Partners Small Cap Fund,
12771,BB&T Equity Income Fund,
12772,25% interest in ZLDR partnership owning 95 acres +,
12773,NEA Valuebuilder Variable Annuity,
12774,Westerra Credit Union,
12775,Tweedy Brown Global Fund,
12776,Sterling Capital Equity,
12777,Presidential Brokerage,
12778,Longleaf Partners Fund,
12779,Lap Inc,
12780,ZLDR LLC,
12781,"LAP, Inc/RBC Dain Rauscher Money Market",
12782,Tweedy Browne Global Fund,
12783,Weitz Value Fund,
12784,Tweedy Brown Global Value Fund,
12785,Working Interest in 7 oil & gas wells,
12786,NEA Valuebuilder Annuity,
12787,Presidential Brokerage Money Market,
12788,Hartford Life Insurance 75% notes,"('Hartford Life Insurance Co', 92)"
12789,Florida Power Corp,
12790,Consolidated Natural Gas,"('Consolidated Natural Gas Co', 100)"
12791,LAP Inc US Bank checking account,
12792,LAP Inc owning RBC Dain Rauscher Money,
12793,First Independent Bank of Vancouver,
12794,Galaxo Smithkline,
12795,Presidential Brokerage Permanent Port,
12796,NEA Annuity,
12797,Piper Jaffray Co,
12798,Sterling Capital,"('Sterling Capital Inv', 100)"
12799,"Berenbaum, Weinshienk & Eason 401k",
12800,Weite Value Fund,
12801,T Rowe Price Drive Equity Income Fund,
12802,Ennis Business Forms,
12803,EOG Resources/Royalties,
12804,SBC Corp,
12805,"Residential Property Ennis, TX",
12806,Loan to Lindsey Barber,
12807,Ennis Business Forum,
12808,Walmart,"('Walmart Chile SA', 100)"
12809,EOG Resources/Natural Gas Royalty,
12810,Eog Resources,
12811,Cripple Creek #99,
12812,Calamos Convertible Growth & Income Fund,
12813,Van Kampen American Capital Funds,
12814,Seligman Group Global Technology Fund,
12815,Seligman Communications & Info Fund,
12816,Geodyne Energy Income Program Oil Wells,
12817,Dreyfus Premier Technology Fund,
12818,Boettcher 1981-2 Drilling Program,
12819,Computer Assoc International,
12820,Albertson's Inc,"(""Albertson's Inc."", 100)"
12821,Kerr-McGee Corp,"('Kerr-McGee Corp', 100)"
12822,Brasil Telecom Participacoes,"('Brasil Telecom Participacoes SA, Brasil', 100)"
12823,Chiron Corp,"('Chiron Corp', 100)"
12824,Alcatel,"('Alcatel-Lucent', 100)"
12825,Electrobras SA,
12826,Matsushita Electric Industrial,
12827,MGIC Investment,"('MGIC Investment Corp', 100)"
12828,Bayerische Hypo-Und Vereinsbank AG,"('Bayerische Hypo- Und Vereinsbank AG, Muenchen', 97)"
12829,Toys R Us,"('Toys R Us Property Co II LLC', 100)"
12830,Service Corp International,"('Service Corp International', 100)"
12831,Jardine Matheson Holdings,"('Jardine Matheson Holdings Ltd', 100)"
12832,"Improved 3/4 acre lot/Greer, AZ",
12833,AllianceBernstein Technology Fund,
12834,WTS Citigroup Inc Litigation Trckng Wt E,"('Citigroup Inc', 100)"
12835,Invensys Plc,
12836,Tele Centro Oeste Celular,"('Tele Centro Oeste Celular Participacoes SA', 100)"
12837,Telsp Ceular,
12838,Van Kampen IRA Pace Fund,
12839,Ca Inc,
12840,Deutsche Telekom Ag,"('Deutsche Telekom AG', 95)"
12841,Telecom Italia Spa,
12842,Carrefour SA,
12843,Nippon Telegraph & Telephone,"('Nippon Telegraph & Telephone Corp Ntt', 100)"
12844,Ingersoll Rand,"('Ingersoll-Rand PLC', 93)"
12845,Henkel Ag,
12846,BASF SE,"('BASF SE', 100)"
12847,Deutsche Post AG,
12848,J Sainsbury Plc,
12849,Daiichi Sankyo Co,
12850,Royal Dsm Nv,
12851,Tokio Marine Holdings,"('Tokio Marine Holdings Inc', 100)"
12852,Telefonos De Mexico Sab,
12853,Cemex,"('Cemex SAB de CV', 100)"
12854,Intesa Sanpaolo Spa-itl,
12855,Dai Nippon Printing,
12856,Wolters Kluwer Nv,"('Wolters Kluwer NV', 94)"
12857,Tomkins Plc,
12858,NASDAQ OMX Group,
12859,Seiko Epson Corp,
12860,Next Group,
12861,Tdk Corp,"('Tdk Corp', 100)"
12862,Mizuho Financial,"('Mizuho Financial Group Inc', 100)"
12863,Wolseley Plc,
12864,Kt Corp,"('Kt Corp', 100)"
12865,Sk Telecom,
12866,Tnt NV,
12867,Home Retail Group Plc,
12868,Nissan Motor,"('Nissan Motor Acceptance Corp', 100)"
12869,Unicredito Italiano,
12870,Deutsche Bank Eur,
12871,Tele Norte Leste Participacoes Tlpp Brl,
12872,Vivo Participacoes Sa,
12873,Contax Participacoes Sa,
12874,Prudential Jennison Natural Resources,
12875,Columbia Seligman Communications & Infor,
12876,Columbia Seligman Global Tech Fund,
12877,CA Technologies,
12878,Te Connectivity Ltd - Chf,"('TE Connectivity Ltd', 95)"
12879,NetApp,"('NetApp Inc', 100)"
12880,Liberty Media Corp Liberty Cap Fund,"('Liberty Media Corp', 100)"
12881,Edg Resources Inc,"('Ego Resources Inc', 94)"
12882,Amc Networks,
12883,Immunogen Inc,"('ImmunoGen Inc', 92)"
12884,Seligman Global Technology,
12885,Clear Channel Communications,
12886,Liberty Media Interactive,
12887,Dreyfus Premier Technology Growth Fund,
12888,Contax Participacoes SA,
12889,AstraZeneca plc,
12890,Akzo Nobel Inc,
12891,Tele Norte Leste,"('Tele Norte Leste Participacoes SA, Brazil', 100)"
12892,Columbia Seligman Comm & Info Fund,
12893,Columbia Seligman Global Tech,
12894,Akamaj Technologies,
12895,Seligman Communication & Info Fund,
12896,Carefour-eur,
12897,SuperValu Inc,
12898,Telemex Internacional,
12899,Telemig Celular Participacoes,"('Telemig Celular Participacoes SA', 100)"
12900,Calamos New Growth & Income Fund,
12901,Prudential Jennison Natural Resources Fd,
12902,Ivy Fund Global Natural Resources Fund,"('Global Natural Resources Inc', 93)"
12903,Columbia FDS SER TR II MASS SELIG Commun,
12904,Columbia FDS SER TR II MASS SELIG Global,
12905,Anglogold Ashanti Ltd,"('AngloGold Ashanti Ltd', 95)"
12906,Canadian Natural Resources Ltd,
12907,AIG Inc,
12908,UNUM Group,
12909,Aon Plc,
12910,Liberty Media Corp,"('Liberty Media Corp', 100)"
12911,NetApp Inc,"('NetApp Inc', 100)"
12912,Liberty Interactive Corp,"('Liberty Interactive Corp QVC Group', 100)"
12913,Akamal Technologies Inc,"('Akamai Technologies Inc', 96)"
12914,Pace Fund,
12915,Burlington Resources,"('Burlington Resources Inc', 100)"
12916,Paine Webber R&D LP,
12917,Telesp Celular Part Sp,
12918,Federated Government Obligation Fund,
12919,"Stafford, Owens, Curtain & Murnane Building Partne",
12920,HSBC Financial,
12921,Barclays TIPS-Bond,
12922,Warehouse at Van Buren- Mortgage,
12923,Security Mutual Life Insurance- Cash Value,
12924,Hydroionic Tech,
12925,HSBC Holdings- Bold,
12926,Federated Capital Preservation,
12927,Mountain Lake Public Broadcasting Service TIAA/ CR,
12928,Hudson Bay Co,
12929,Winthrop Realty Trust,"('Winthrop Realty Trust Inc', 100)"
12930,Whitecap Resources,
12931,Unifi Inc,
12932,Seattle Genetics,"('Seattle Genetics Inc', 100)"
12933,Organovo Holding,
12934,Groupon Inc,"('Groupon Inc', 100)"
12935,Fidelity Dividend Growth Fund,
12936,Champlain National Bank,
12937,Bonterra Energy,
12938,Bank of Montreal,
12939,"Stafford, Piller et al profit sharing",
12940,"Stafford, Owens et al Building Partners",
12941,NBT Bank IRA of William L Owens,
12942,NBT Bancorp,"('NBT Bancorp Inc', 100)"
12943,NBT Bank Savings,
12944,Federal Capital Preservation,
12945,Mortgage of Warehouse at Van Buren Stree,
12946,Security Mutual Life Insurance Co of NY,
12947,Nuance Comm,"('Nuance Communications Inc', 100)"
12948,Hyrdoionic Technologies,
12949,Garnsey Road Building Partnership,
12950,Dodge & Cox International Stoc,
12951,TIAA Guaranteed Traditional,
12952,Federal Government Money Market,
12953,CREF Infl Linked Bond,
12954,NBT Bank,
12955,"Stafford, Piller et al",
12956,NBT Bank/Savings,
12957,NBT Bancorp Inc,"('NBT Bancorp Inc', 100)"
12958,Mountain Lake PBS,
12959,Hydroionic Technologies,
12960,NBT Bank IRA,
12961,Fed Govt MMP 5 Cash Account,
12962,T Rowe Price Equity Income Fun,
12963,T Rowe Price Capital Appreciat,
12964,Security Mutual Life Insurance Co of NY Cash Accou,
12965,Mortgage of Warehouse at Van Buren St,
12966,Morgan Stanley Corporate Bond,"('Morgan Stanley', 100)"
12967,HSBC Financial Corporate Bond,
12968,Goldman Sachs Group Bond,
12969,Bank Of Montreal,
12970,Bank Nova Scotia Halifax,
12971,Jones Lang LaSalle Inc,"('Jones Lang LaSalle Inc', 100)"
12972,CREF Inflation Linked Bond Fund,
12973,NBT Bank Fed Govt MMP 5,
12974,"Stafford, Piller et al Profit Sharing",
12975,"Stafford, Owens et al",
12976,Fed Govt MMP 5,
12977,Group LBT,
12978,Dodge & Cox International Stock,
12979,NBT Unexercised Stock Options,
12980,Mountain Lake Public Television,
12981,TIAA Traditional,
12982,CREF Stock,
12983,Warehouse at Van Buren Street,
12984,Tsy Invt Growth Rcpts Strips,
12985,NBT Bond Savings,
12986,Security Mutual Life Insurance,
12987,Garnsy Road Building Partnership,
12988,Charles NB,
12989,Oppenheimer Advantage Bank Deposit,
12990,MFS Inflation Adj Bond Fund,
12991,Royal Gold Inc,"('Royal Gold Inc', 100)"
12992,Lord Abbett Balanced Fund,
12993,Advantage Government Liquid Fund,
12994,Primary Liquid Fund,
12995,Game Technology,"('International Game Technology', 100)"
12996,Fidelity Short Term Bond Fund,
12997,Fidelity OTC Portfolio Fund,
12998,Spartan 500 Index,
12999,Fidelity Strategic Income Fund,
13000,Lord Abbett Investment Trust Bal,
13001,Fidelity Short Term Bond,
13002,Fidelity OTC Fund,
13003,Ariel Fund,
13004,Fidelity Strategic Income,
13005,Capital Income Builder,
13006,Lord Abbett Investment Trust Balance,
13007,Lord Abbett Invt Tr Bal Fund,
13008,Schwab US Treasury Money Fund,
13009,Senate Thrift Savings Plan,
13010,TD Ameritrade cash/insrd deposit,
13011,Teekay Offshore Partners,"('Teekay Offshore Partners LP', 100)"
13012,Navios Maritime Partners,"('Navios Maritime Partners LP', 100)"
13013,Crosstex Energy,"('Crosstex Energy Inc', 100)"
13014,Tesoro Logistics,
13015,Rose Rock Midstream,"('Rose Rock Midstream LP', 100)"
13016,Oklahoma Cap Bond,
13017,Round Rock Tex Bond,
13018,PVR Partners,"('PVR Partners LP', 100)"
13019,NGL Energy Partners,"('NGL Energy Partners LP', 100)"
13020,Genesis Energy,"('Genesis Energy LP', 100)"
13021,Electronic Data 6.0,
13022,Eagle Rock Energy Partners,"('Eagle Rock Energy Partners LP', 100)"
13023,Alliance Holdings,"('Alliance Holdings GP LP', 100)"
13024,Transmontaigne Partners,"('TransMontaigne Partners LP', 96)"
13025,Teekay LNG Partners,"('Teekay LNG Partners LP', 100)"
13026,TD Ameritrade/Insured Deposit,
13027,Star Gas Partners LP,"('Star Gas Partners LP', 100)"
13028,Nestle S A,
13029,Martin Midstream Partners,"('Martin Midstream Partners LP', 100)"
13030,Markwest Energy Partners,"('MarkWest Energy Partners LP', 96)"
13031,Holly Energy Partners LP,"('Holly Energy Partners LP', 100)"
13032,Exterran Partners LP,
13033,Electronic Data,"('Electronic Data Controls Corp', 100)"
13034,El Paso Pipeline Partners,"('El Paso Pipeline Partners LP', 100)"
13035,Cash Equivalents,
13036,WPX Energy,"('WPX Energy Inc', 100)"
13037,Stillwater Min Bond,
13038,Market Vectors ETF,
13039,Coeur D'Alene,"(""Bueno Coeur d'Alene Inc"", 92)"
13040,WPX Energy Inc,"('WPX Energy Inc', 100)"
13041,Usec Inc,
13042,United Rentals Trust 1,
13043,Toledo Ohio Sewer Bond,
13044,Rait Financial,
13045,Primus Telecom Group,
13046,Petroquest Energy B Pfd,
13047,Petroquest Energy,"('Petroquest Energy Inc', 100)"
13048,Oneok Partners,
13049,Oklahoma Dev Fin Bond,
13050,McMoRan Exploration Co,"('McMoRan Exploration Co', 100)"
13051,Lucent Technologies Cap Tr,
13052,John Hancock Var,
13053,Jenks Okla Bond,
13054,iShares DJ US Fin Sector,
13055,Hawaiin Holdings,
13056,Genco Shipping,"('Genco Shipping & Trading Ltd', 100)"
13057,Dendron Corp,"('Dendreon Corp', 92)"
13058,American Pacific,"('American Pacific Corp', 100)"
13059,Aircastle Ltd,"('Aircastle Ltd', 100)"
13060,WPX Energy Inc Spin-off from Williams Companies 12,"('WPX Energy Inc', 100)"
13061,US Senate Federal Credit Union/Checking,
13062,Student Transn Inc,
13063,Sangamo Biosciences Inc,
13064,PVR Partners LP 2012 name change from Penn Virgini,"('PVR Partners LP', 100)"
13065,Proshares UltraShort S&P 500 Fund,"('ProShares UltraShort S&P500', 93)"
13066,Proshares Ultrashort QQQ,"('ProShares UltraShort QQQ', 92)"
13067,Proshares Mar call,
13068,Pembino Pipeline Corp,
13069,Omnicare Capital Trust III,
13070,Ominicare Capital Trust III,
13071,Oklahoma County Okla Bond,
13072,Navios Maritime Ptnrs,
13073,MIPS Technologies,"('MIPS Technologies Inc', 100)"
13074,Kinder Morgan Management,"('Kinder Morgan Management LLC', 100)"
13075,iShares Barclays TIPS,
13076,Harris County Tex Bond,
13077,Gold Fields Ltd,"('Gold Fields Ltd', 100)"
13078,Direxion Shares Small Cap Bear,
13079,Citizens Bank & Trust,
13080,Cenovus Energy Inc,"('Cenovus Energy Inc', 100)"
13081,Buckle Inc,"('Buckle Inc. (The)', 100)"
13082,Blackrock International Growth,
13083,Blackrock Enhanced Cap & Income Fund,
13084,American Bank of Oklahoma,
13085,Star Scientific,"('Start Scientific Inc', 93)"
13086,NV Energy inc,"('NV Energy Inc', 92)"
13087,Polymedix Inc,"('PolyMedix Inc', 92)"
13088,Nustar Energy Partners,
13089,Nustar Energy,"('NuStar Energy LP', 92)"
13090,Mphase Tech Inc,
13091,Lightbridge Corp,"('Lightbridge Corp', 100)"
13092,International Stem Cell Corp,"('International Stem Cell Corp', 100)"
13093,Guidewire Software,"('Guidewire Software Inc', 100)"
13094,Crestwood Midstream,"('Crestwood Midstream Partners LP', 100)"
13095,BP Prudhoe Bay Rty Tr options,
13096,Boardwalk Pipeline Partners,"('Boardwalk Pipeline Partners LP', 100)"
13097,Boardwalk Pipeline LP,"('Boardwalk Pipeline Partners LP', 95)"
13098,Banco Santander SA,"('Banco Santander SA', 100)"
13099,Arrowhead Research Corp,
13100,Apache Corp option,"('Apache Corp', 100)"
13101,Amazon option,
13102,AES Trust III Conv Pfd,
13103,Pinnacle Income Partners,
13104,SPDR Dow Jones Industrial Avg,"('SPDR Dow Jones Industrial Average ETF Trust', 97)"
13105,Electronic Data Corp,
13106,TD Ameritrade Insured Dep Account,
13107,Charles Schwab cash reserve,
13108,Schwab Cash Reserves,
13109,"Round Rock, TX Utility Bond",
13110,"Tulsa County, OK Indus Bond",
13111,SPDR S&P 600 Small Cap Value,"('SPDR S&P 600 Small Cap Value ETF', 100)"
13112,Muskogee Diagnostic Imaging,
13113,"Corpus Christi, TX Bond",
13114,Charles Schwab/cash,
13115,Winn-Dixie Stores,"('Winn-Dixie Stores Inc.', 100)"
13116,UTD Rentals,
13117,USEC Inc,
13118,Trex Co,"('Trex Co Inc', 100)"
13119,"Stillwater, MN Bond",
13120,Powell Industries,"('Powell Industries Inc', 100)"
13121,Market Vectors Etf Trust,
13122,Lifetime Brands,"('Lifetime Brands Inc', 100)"
13123,Cubist Pharm,"('Cubist Pharmaceuticals Inc', 100)"
13124,Coeur D'Alene Mines,
13125,OM Group,"('CCOM Group Inc', 100)"
13126,Aircastle LTD,
13127,Universal Corp,"('Universal Corp', 100)"
13128,"Tulsa County, OK Bond",
13129,Superior Industries,"('Superior Industries International Inc.', 100)"
13130,Spartan Motors,"('Spartan Motors Inc', 100)"
13131,Southwest Bancorp Okla,"('Southwest Bancorp', 100)"
13132,Penn Virginia Group,
13133,Oklahoma State Bond,
13134,Kimball International,"('Kimball International Inc', 100)"
13135,Kaiser Aluminum Corp,"('Kaiser Aluminum Corp', 100)"
13136,"Jenks, OK Bond",
13137,Iridium Communications,"('Iridium Communications Inc', 100)"
13138,Freightcar America,"('FreightCar America Inc', 94)"
13139,Arkansas Best Corp,
13140,Xerium Technologies,"('Xerium Technologies Inc', 100)"
13141,"Tulsa, OK Bond",
13142,Thomas A Coburn MD,
13143,St Mary Land Bond,
13144,PRGX Global Inc,"('PRGX Global Inc', 100)"
13145,Omnicare Cap Tr II,
13146,Oclaro Inc,"('Oclaro Inc', 100)"
13147,Nordic American Tanker Shipping Fund,
13148,MVC Capital Inc,"('MVC Capital Inc', 100)"
13149,Hiwaiian Holdings,
13150,"Harris County, TX Bond",
13151,EV Energy Partners,"('EV Energy Partners LP', 100)"
13152,Crestwood Midstream Partners LP,"('Crestwood Midstream Partners LP', 100)"
13153,Baltic Trading LTD,
13154,Airtran Holdings,"('AirTran Holdings Inc.', 94)"
13155,US Treasury Inflation Index,
13156,Toreador Resources,"('Toreador Resources Corp', 100)"
13157,Encore Capital,"('Encore Capital Group Inc', 100)"
13158,Americredit Corp,
13159,"Wayne Township, IN Bond",
13160,"Splendora , TX Bond",
13161,"Oklahoma City, OK Bond",
13162,"Frisco, TX Independent School Dist Bonds",
13163,Federal Home Loan Banks Securities,
13164,Continental Airlines,"('Continental Airlines Inc-Old', 100)"
13165,Standard Pacific,
13166,News America,"('News America Holdings Co', 100)"
13167,Muskogee Allergy Clinic,
13168,iShares DJ US Real Estate,
13169,Professional Building Partnership LLC,
13170,T-C Lifecycle 2020,
13171,Lifecycle Income,
13172,Navios Maritime Partners LP,"('Navios Maritime Partners LP', 100)"
13173,SandRidge Energy Inc,"('SandRidge Energy Inc', 100)"
13174,Genesis Energy LP,"('Genesis Energy LP', 100)"
13175,Cenveo Corp,
13176,Tesoro Logistics LP,
13177,Okla Dept CenterRate Bond,
13178,Southwestern Energy Co,"('Southwestern Energy Co', 100)"
13179,City of Round Rock TX Bond,
13180,Atlas Pipeline Partners,"('Atlas Pipeline Partners LP-Old', 100)"
13181,Alliance Holding Group,
13182,Firstbank Corp,"('Firstbank Corp', 100)"
13183,Transmontaigne Partners LP,"('TransMontaigne Partners LP', 96)"
13184,Teekay LNG Partners LP,"('Teekay LNG Partners LP', 100)"
13185,QEP Midstream Partners LP,"('QEP Midstream Partners LP', 100)"
13186,Martin Midstream Partners LP,"('Martin Midstream Partners LP', 100)"
13187,El Paso Pipeline Partners LP,"('El Paso Pipeline Partners LP', 100)"
13188,Eagle Rock Energy Partners LP,"('Eagle Rock Energy Partners LP', 100)"
13189,DCP Midstream Partners LP,"('QEP Midstream Partners LP', 92)"
13190,Common Stock Index,
13191,Zions Bancorporation,"('Zions Bancorporation', 100)"
13192,Stillwater Mining Bond,"('Stillwater Mining Co', 95)"
13193,Rait Financial Trust Fund,
13194,Coeur D'Alene MI Bond,
13195,Teekay Offshore Partners LP,"('Teekay Offshore Partners LP', 100)"
13196,AAMRQ AMR CORP,
13197,Tower Group International,"('Tower Group International Ltd', 100)"
13198,Superior Industries International,"('Superior Industries International Inc.', 100)"
13199,Smith Barney Financial Group,
13200,QCR Holdings,"('QCR Holdings Inc', 100)"
13201,Prospect Cap Co,
13202,OmniVision Technologies Inc,"('OmniVision Technologies Inc', 100)"
13203,Okla Dev Fin Auth Bond,
13204,MDC Holdings,
13205,Masonite International,"('Masonite International Corp', 100)"
13206,Leucadia Nation Bond,
13207,iShares US Financial Services,"('iShares US Financial Services ETF', 100)"
13208,Independent Bank Corp,"('Independent Bank Corp.', 100)"
13209,Hawaiian Holdings Co,
13210,Gulf Coast Ultra Deep Royalty Trust,
13211,Goldman SachsRate/Coupon,
13212,Gen Dynamics Corp,
13213,City of Warren OH (formerly Toledo Ohio Sewer)Rate,
13214,Cenveo Inc,"('Cenveo Inc.', 100)"
13215,Bear Stearns Money Market,
13216,City of Jenks OK Bond,
13217,Yadkin Financial Corp,"('Yadkin Financial Corp', 100)"
13218,Xerium Technologies Inc,"('Xerium Technologies Inc', 100)"
13219,Virginia Beach VA Bond,
13220,Tenn Gas Pipeline,
13221,Student Transportation Inc,"('Student Transportation Inc', 100)"
13222,State of Ohio Bond,
13223,State of New Mexico Bond,
13224,Spartan Motors Inc,"('Spartan Motors Inc', 100)"
13225,Small Cap Stock Index,
13226,Sangamo Bioscience,
13227,Pacific Premier Bancorp,"('Pacific Premier Bancorp Inc', 100)"
13228,Oxford Resource Partners LP,
13229,OSU A&M Board,
13230,NanoViricides Inc,"('NanoViricides Inc', 100)"
13231,Muskogee Diagnostic Imaging LLC,
13232,Market Vectors ETF Gold Miners ETF Fund,
13233,iPath S&P 500 VIX ST Futures ETN,
13234,Indiana University Trust Bldg Bond,
13235,Harris County TX Bond,
13236,Government Securities,"('ACM Government Securities', 100)"
13237,Fox Vy Tech College Bond,
13238,Fixed income Index,
13239,Direxion Daily Small Cap Bear 3X ETF,
13240,County of Pipest Bond,
13241,County of Iredell NC Bond,
13242,County of Denton TX Bond,
13243,Codorus Valley Bancorp,"('Codorus Valley Bancorp Inc', 100)"
13244,City of Santa Fe NM Bond,
13245,"City of Houston, TX Bond",
13246,"City of Fort Wayne, IN Bond",
13247,"Citizens Bank & Trust Muskogee, OK/Checking",
13248,Cenovus Energy,"('Cenovus Energy Inc', 100)"
13249,C&J Energy Services,"('C&J Energy Services Inc', 100)"
13250,Blackrock Capital & Income Fund,
13251,BioTime Inc,"('BioTime Inc', 100)"
13252,Auxilium Pharm,"('Auxilium Pharmaceuticals Inc', 100)"
13253,"American Bank of Oklahoma Muskogee, OK/Checking",
13254,Electronic Data Systems,"('Electronic Data Systems Corp', 100)"
13255,SPDR S&P 500S,
13256,Pembina Pipeline Corp,
13257,BP Prudhoe Bay Royalty TrustStrike pr,
13258,Blackrock International Growth & Income Fund,
13259,UBS Money Market,
13260,Professional Building Partnership,
13261,Plaza Medical Center Partnership,
13262,UBS Money Market Fund,
13263,Taber Development,
13264,SunAmerica High Yield Bond,
13265,R2 Healthcare Inc,
13266,Putnam New Value Fund,
13267,Muskogee Allergy Clinic Partnership,
13268,Fidelity Small Cap Stock Fund,
13269,Capital Appreciation sub account,
13270,Alliance Growth & Income Fund,
13271,MFS Research sub account,
13272,Edward D Jones Money Market Fund,
13273,Van Kampen Reserve Fund,
13274,Van Kampen Enterprise Fund,
13275,Territory National Bank,
13276,T Coburn MD/Medical Equipment,
13277,Putnam Tax Free High Yield Fund,
13278,Putnam Research Fund,
13279,Putnam OTC & Emerging Growth Fund,
13280,Putnam Intl New Opportunities Fund,
13281,Putnam Health Sciences Fund,
13282,Putnam Capital Appreciation Fund,
13283,Parker Drilling,"('Parker Drilling Co', 100)"
13284,Orasure Technologies,"('OraSure Technologies Inc', 95)"
13285,MFS Multimarket Income Trust,"('MFS Multimarket Income Trust', 100)"
13286,MFS Mass Investors Trust,
13287,Ameritrade Cash Account,
13288,Alliance Growth Fund,
13289,Alliance Global Fund,
13290,Williams Communications Group,
13291,T&C Construction,
13292,Muskogee Golf,
13293,Cohen & Steers Advantage Realty Income,
13294,Professional Building Partners LLC,
13295,Charles Schwab/Cash,
13296,Yellow Corp,
13297,Standard Mortgage Co,
13298,Tulsa County Okla Bond,
13299,Splendora Tex Bond,
13300,Madison Wis Bond,
13301,American Bank of Oklahoma Account,
13302,Thomas A Coburn MD Inc,
13303,SPDR DJ Wilshire Small Cap Value Fund,
13304,GATX Financial,
13305,Franklin Bank,"('Franklin Bank Corp', 100)"
13306,"El Paso, TX Bond",
13307,Callon Petroleum,"('Callon Petroleum Co', 100)"
13308,Plaza Medical Center LLC,
13309,Meridian Resource Corp,"('Meridian Resource Corp (The)', 100)"
13310,Medical Equipment,"('Mountain Medical Equipment', 100)"
13311,McIntosh,"('McIntosh Corp', 100)"
13312,Bronco Drilling,"('Bronco Drilling Company Inc', 100)"
13313,Oklahoma State Cap Bond,
13314,Citizens Security Bank,
13315,Utstarcom Inc,"('Starcom Inc', 91)"
13316,UTD Rentals Trust,
13317,Standard Motor,"('Standard Motor Products Inc.', 100)"
13318,Taber Development LLC,
13319,Oklahoma County Bond,
13320,Valuevision Media,
13321,Synagro Technologies,"('Synagro Technologies Inc', 100)"
13322,Markwest Hydrocarbon,"('MarkWest Hydrocarbon Inc.', 95)"
13323,Lannett Inc,
13324,Gateway Inc 1.5% 12/31/09,"('Gateway Inc.', 92)"
13325,Federal Agricultural Mortgage Corp,"('Federal Agricultural Mortgage Corp.', 100)"
13326,Fairfax Financial,"('Fairfax Financial Holdings Ltd', 100)"
13327,ABX Air,
13328,W Capital Appreciation,
13329,TXI Cap Trust,
13330,SA High Yield Bond,
13331,Oberwies Funds Micro-cap,
13332,MFS Research Bond,
13333,Marchex Inc,"('Marchex Inc', 100)"
13334,JPM Global Equities sub account,
13335,HSA Bank,
13336,Avanex Corp,"('Avanex Corp', 100)"
13337,Alliance Growth Sub Account,
13338,TD Ameritrade Cash Account,
13339,Kentucky Asset,
13340,S Taber Development,
13341,NQ W Capital Apreciation Sub Account,
13342,TXI Capital Trust Preferred,
13343,Territory Bank,
13344,Talk America Holdings,"('Talk America Holdings Inc', 100)"
13345,"Livonia, MI Public School District Bond",
13346,Lance Inc,"(""Snyder's-Lance Inc"", 100)"
13347,Gateway Inc,"('Gateway Inc.', 100)"
13348,Farmer Mac,
13349,American Axle & Manufacturing,"('American Axle & Manufacturing Holdings Inc', 100)"
13350,MFS Research Sub Account,
13351,Sterra Pac Res Corp,
13352,Schwab Us Treas Money Fund,
13353,Oil & Gas Royalty Interests,
13354,JPMorgan Global Equities Fund,
13355,HSA Bank Account,
13356,Hawllan Holdings,
13357,Hawiian Holdings,
13358,Government Money Fund,
13359,Federal Thrift Savings Plan/I Fund,
13360,Crane Co,"('Crane Co.', 100)"
13361,Spinnaker Exploration,"('Spinnaker Exploration Co', 100)"
13362,Radiation Therapy Services,
13363,Wayne Twp Ind Bond,
13364,"Splendora, TX Bond",
13365,Quicksilver Gas Services,
13366,"Oklahoma County, OK Bond",
13367,iShares DJ Us Real Estate Index,
13368,Charles Schwab/Cash reserve,
13369,"Madison, WI Bond",
13370,VJP Calls,
13371,SYRC Worldwide,
13372,Proshares Ultrashort Oil & Gas Fund,"('ProShares UltraShort Oil & Gas', 93)"
13373,PowerShares DB Crude Oil,
13374,Ariba Inc,"('Ariba Inc', 100)"
13375,Schwab US Treasury money fund,
13376,Tulsa County OK Ind Bond,
13377,TD Ameritrade Insured Deposit Account,
13378,Market Vectors ETF Trust,
13379,Blackrock Intl Growth & Income Fund,
13380,Teekay Off shore Partners,"('Teekay Offshore Partners LP', 96)"
13381,Round Rock TX Bond,
13382,Penn Virginia Resourse LP,
13383,Penn Virginia Resource Partners,"('Penn Virginia Resource Partners LP -Old', 100)"
13384,Oklahoma County OK Bond,
13385,Ngl Energy Partners Lp,
13386,Nano Vircides Inc,"('NanoViricides Inc', 94)"
13387,Lynas Corp,
13388,Ingersol Rand,
13389,Galectin Therapeutics Inc,"('Galectin Therapeutics Inc', 100)"
13390,Exco Resources,
13391,Crestwood Midstream LP,"('Crestwood Midstream Partners LP', 95)"
13392,Blackrock Enhanced Cap & Income,
13393,Biotime Inc,"('BioTime Inc', 91)"
13394,AES Trust III Conv Pfd 6.75,
13395,Trinity Ind,"('Trinity Industries Inc.', 100)"
13396,KV Pharmaceutical 2.5 5/33,
13397,Winn Dixie Stores,"('Winn-Dixie Stores Inc.', 94)"
13398,SPDR Dow Jones Indl Avg,
13399,Nasdaq OMX Group,
13400,Charming Shoppes,"('Charming Shoppes Inc', 100)"
13401,Winn Dixis Stores,
13402,United Continental Hodings,"('United Continental Holdings Inc', 96)"
13403,Trex Co nc 6.0 7/12,
13404,Susquehanna Bancshares Inc,"('Susquehanna Bancshares Inc', 100)"
13405,Superior Industries Intl,
13406,St Mary Land 3.5 4/27,
