samples,ratio,partial_ratio,token_sort_ratio,partial_token_sort_ratio,token_set_ratio,UWRatio
vga mid cap index,,,,,,
tiaa-cref annuity account,,,,,,
"rental property/durham, nc",,,,,,
piedmont angel network 3 llc,,,,,,
neah power systems,"('neah power systems inc', 90)",,"('neah power systems inc', 90)",,"('neah power systems inc', 100)","('neah power systems inc', 95)"
american bank,"('american bank/ct', 90)","('american bank note co', 100)","('american bank/ct', 90)","('american bank note co', 100)","('american bank note co', 100)","('american bank/ct', 95)"
laguna water co,,,,,,
invesco equity real estate security,,,,,,
alps sector div dogs,"('alps sector dividend dogs etf', 82)","('alps sector dividend dogs etf', 80)","('alps sector dividend dogs etf', 82)","('alps sector dividend dogs etf', 75)","('alps sector dividend dogs etf', 89)",
vanguard 500 index education savings,,,,,"('vanguard s&p 500 etf', 75)",
wachovia bank money fund,,,,,,
michigan trunkline bond,,,,,,
vanguard conservative growth fund,,,,,,
tiaa-cref retirement annuity cref equity,,,,,,
new york community,"('new york community bancorp inc.', 75)","('new york community bancorp inc.', 100)","('new york community bancorp inc.', 75)",,"('new york community bancorp inc.', 100)","('new york community bancorp inc.', 90)"
aim invt secs fds invesco invt secs fds,,,,,,
first security state bank,,,,,,
"806 mystic dr/cape canaveral, fl",,,,,,
henderson european fund,,,,,,
ira american funds 2030 target date,,,,,,
clusnein,,,,,,
breese assoc,,,,,,
nuveen sector portfolios e business,,,,,,
mcranscos,,,,,,
mfs research sub account,,,,,,
"los angeles, ca waste water bonds",,,,,,
joyce y dreier trust,,,,,,
business development,,,,,,
usaa 529 - ace-based aggressive growth,,,,,,
twinks llc columbia bank,,,,,,
austin tex db bond,,,,,,
wells fargo montgomery i short duration,,,,,,
gencore,,,,,,
land contract receivable,,,,,,
magellan midstream,"('magellan midstream partners lp', 75)","('magellan midstream partners lp', 100)","('magellan midstream partners lp', 75)","('magellan midstream partners lp', 100)","('magellan midstream partners lp', 100)","('magellan midstream partners lp', 90)"
fidelity blended fund investments,,,,,,
columbia acorn international,,,,,,
tiaa-cref stock,"('tiaa-cref', 75)","('tiaa-cref', 100)","('tiaa-cref', 75)",,"('tiaa-cref', 100)","('tiaa-cref', 90)"
ohio major new infrastru rev bonds,,,,,,
the rural connection,,,,,,
panhandle-plains tx bond,,,,,,
charles schwab/money market,,,"('schwab (charles) corp', 70)",,"('schwab (charles) corp', 85)",
metlife fixed-old,,"('metlife inc.', 82)",,"('metlife inc.', 73)","('metlife inc.', 78)",
goldman sachs structured intl equity fnd,,,,,,
sei international tr emerging fund,,,,,,
"davidson county, nc ctfs partn bond",,,,,,
cres anti-fidelity freedom,,,,,,
education savings scholars choice,,,,,,
intermediate government bond,,,,,,
annuity cref,,,,,,
western asset managed,,"('western asset managed municipals fund inc', 100)",,"('western asset managed high income fund inc', 81)","('western asset managed municipals fund inc', 100)","('western asset managed municipals fund inc', 90)"
"modderman farm 110 acres/alexander, ia",,,,,,
ems dc properties,,,,,,
weber's air & heat llc,,,,,,
picc property & casualty co,,,,,,
vantex independent school district,,,,,,
high yield bond,,,,,,
janus small cap value fund,,,,,,
mobile home,,,,,,
tag llc,,,,,,
target date,,,,,,
cfh investment,,,,,,
fifth third mid cap growth fund,,,,,,
529 college savings account 54580020,,,,,,
eaton vance both,"('eaton vance corp.', 81)",,"('eaton vance corp.', 81)","('eaton vance corp.', 81)","('eaton vance corp.', 81)",
ramsey bank account,,,,,,
d3 h2d3v4,,,,,,
mpls & stpaul mn hsg rdv bond,,,,,,
erie federal credit union checking,,,,,,
albia group,,,,,,
2.5% nederlandse waterschapsbk 2007 emtn,,,,,,
dws value ser incom small cap value fund,,,,,,
geophysical,,,,,,
fundamental value,,,,,,
fifth third prime money market,,,,,,
promissory note from llc owned by robert,,,,,,
"hilliard, oh sch dist ref-sch int at mat",,,,,,
"45 acres/westminster, sc",,,,,,
"franklin county, oh hosp facs rev bond",,,,,,
money market/checking & savings,,,,,,
evergreen funds ira,,,,,,
client interest program/cash,,,,,,
enter sunrise medical llc,"('sunrise medical inc', 77)","('sunrise medical inc', 89)","('sunrise medical inc', 82)","('sunrise medical inc', 89)","('sunrise medical inc', 88)",
1800 carillon lp,,,,,,
vanguard ftse social index,"('vanguard ftse pacific etf', 71)",,,,"('vanguard ftse all-world ex-us small-cap index fund etf', 84)",
fpa crescent international,,,,,,
state of ohio-deferred compensation plan,,,,,,
"cedar hill, tx tisd prem sch bldg bond",,,,,,
cliffs natural resources,,,,,,
blackrock balanced,,,,,,
centurytel inc,,,,,,
ranch equipment,,,,,,
w&m properties,,,,,,
insurance policy new england financial,,,,,,
blackrock insured muni income trust,,,,,,
alaska municipal bond,,,,,,
henderson intl opportunities fund,,,,,,
centennial money market fund,,,,,,
wells fargo bank accounts jt,"('wells fargo & co', 68)","('wells fargo & co', 75)","('wells fargo & co', 67)","('wells fargo & co', 79)","('wells fargo & co', 88)",
columbia vp global bond,,,,,,
guilford cnty nc g/o pub impt bonds,,,,,,
conservation alliance,,,,,,
dfa global fixed income/2 year,,,,,,
commerce bank accounts/cd,,,,,,
vanguard inflation protection sec adm,,,,,,
congressional fed credit union,,,,,,
whitehall street real estate xiii/xiv,,,,,,
principal intl emerging markets fund,,,,,,
int'l fund,,,,,,
turner funds spectrum fund,,,,,,
residential rentals 206 d street se washington,,,,,,
blackrock funds energy & resources,,,,,"('blackrock energy and resources trust', 90)",
blake herndon plant oakley/checking account,,,,,,
loan to campaign - heck for congress,,,,,,
russell multi-style equityprovider: northwestern m,,,,,,
icon pub ltd,,,,,,
"401 e roosevelt/salem, mo",,,,,,
vanguard long-term,"('vanguard long-term bond etf', 80)","('vanguard long-term bond etf', 100)","('vanguard long-term bond etf', 80)","('vanguard long-term bond etf', 100)","('vanguard long-term bond etf', 100)","('vanguard long-term bond etf', 90)"
vanguard total bond market fund,"('vanguard total bond market etf', 92)","('vanguard total bond market etf', 93)","('vanguard total bond market etf', 92)","('vanguard total bond market etf', 90)","('vanguard total bond market etf', 93)","('vanguard total bond market etf', 92)"
mass mutual guar principal acct,,,,,,
e&p partnership building & land,,,,,,
vanguard trust,,,,,,
amg funds iii managers bond fund instl class,,,,,,
college sec 529 plan custom choice,,,,,,
emerging markets stock index,,,,,,
parametric tax-managed emerging markets fund,,,,,,
citigroup capital viii def int trust,,,,,,
powershares,,,,,,
la g/o bond,,,,,,
"667 avenue a/boulder city, nv",,,,,,
gs gms alpha + advisers i horizon,,,,,,
royce fund mutual fund,,,,,,
ishares barclays 1-3yr credit bond,"('ishares 1-3 year credit bond etf', 76)",,"('ishares 1-3 year credit bond etf', 70)",,,
107 storrs street llc,,,,,,
timberland/1100 acres,,,,,,
nksj holdings,,,,,,
goldman sachs instl liquid assets mm,,,,,,
barclays i path index aigcomm,,,,,,
onondaga county ny,,,,,,
metropolitan transn auth ny rev bond,,,,,,
oconee county ga school district g/o bond,,,,,,
provident energy trust,,,,,,
ing fidelity contra fund,,,,,,
target small cap value t,,,,,,
alliance bernstein small cap value,"('alliancebernstein lp', 74)","('alliancebernstein lp', 90)","('alliancebernstein lp', 70)","('alliancebernstein lp', 90)","('alliancebernstein lp', 70)",
washington real estate,,"('washington real estate investment trust', 100)",,,"('washington real estate investment trust', 100)","('washington real estate investment trust', 90)"
vanguard 403b equity inc fund,,,,,,
ishares dj us consumer goods sector indx,"('ishares us consumer goods etf', 81)","('ishares us consumer goods etf', 90)","('ishares us consumer goods etf', 75)",,"('ishares us consumer goods etf', 93)","('ishares us consumer goods etf', 88)"
wilmington tax exempt fund,,,,,,
federated investors fund,"('federated investors inc.', 89)","('federated investors', 100)","('federated investors inc.', 89)","('federated investors inc.', 87)","('federated investors', 100)","('federated investors', 95)"
kraft foods / (trust),"('kraft foods group inc', 68)","('kraft foods group inc', 70)",,,"('kraft general foods', 79)",
mainstay mutual fund,,,,,,
artwork,,,,,,
indiana fin auth rev bond,,,,,,
lewis farms llp,,,,,,
australia & new zealand banking group,"('australia & new zealand banking group ltd', 95)","('australia & new zealand banking group ltd', 100)","('australia & new zealand banking group ltd', 95)","('australia & new zealand banking group ltd', 89)","('australia & new zealand banking group ltd', 100)","('australia & new zealand banking group ltd', 95)"
american capital world growth/income fd,,,,,,
ira bb&t,,,"('bb&t corp', 71)",,"('bb&t corp', 71)",
aberdeen asia-pac inc,"('aberdeen asia-pacific income fund inc.', 72)",,"('aberdeen asia-pacific income fund inc.', 72)",,"('aberdeen asia-pacific income fund inc.', 89)",
apollo investment management,,,,,,
american cap world growth & inc,,,,,,
columbia core bond fund,"('columbia core bond etf', 89)",,"('columbia core bond etf', 89)",,"('columbia core bond etf', 90)","('columbia core bond etf', 89)"
invesco real estate fund,,,,,,
hartford inflation plus fund,,,,,,
delaware inv sm cap val institutional,,,,,,
new york life insuranceprovider: new york life ins,"('new york life insurance co', 66)","('new york life insurance co', 92)","('new york life insurance co', 64)",,"('new york life insurance co', 79)",
harris tx bond,,,,,,
ivy limited term bond,,,,,,
apple federal credit union,,,,,,
fidelity europe,,,,,,
citibank/checking & savings,,,,,,
baybrook,,,,,,
computer assoc international,,,,,,
charles schwab - black diamond,,,"('schwab (charles) corp', 68)",,"('schwab (charles) corp', 85)",
u fund 70% equity portfolio*,,,,,,
uts spdr trust,,,,,,
bank center first/checking & savings,,,,,,
aggressive portfolio fund,,,,,,
stifel nicolas cash,,,,,,
sand ridge bank/cd,,,,,,
"citizens bank & trust muskogee, ok/checking",,,,,,
orion bank/cd,,,,,,
evergreen strategic municipal bond fund,,,,,,
scottrade brokerage account,,,,,,
mylen,,,,,,
bright star fund advisor,,,,,,
american cap inc bldr ira,,,,,,
australia index etf,,,,,,
european financial stability facility,,,,,,
"32 martin lane/dallas county, mo",,,,,,
mfs high yield fund,,,,,,
american enterprise investment services,,,,,,
arccom commercial lending/note,,,,,,
ubs financial rma money market,,,,,,
energy northwest wa elec rev rev bond,,,,,,
western wash univ wash revs rev ref bond,,,,,,
2007 bds public impt ref bonds,,,,,,
cornerstone multifamily income fund,,,,,,
gmac llc,,,,,,
christian brothers college,,,,,,
xos technologies,,,,,,
sep-ira value advantage,,,,,,
fidelity emerging asia fund,,,,,,
aqr risk parity fund,,,,,,
first tr exchange traded fund ii,"('first trust exchange-traded fund iv senior loan fund', 76)","('first trust exchange traded fund vi multi asset diversified income index fund', 91)","('first trust exchange-traded fund iv senior loan fund', 71)",,"('first trust exchange-traded fund ii first trust international ipo etf', 95)",
heritage stock fund,,,,,,
lg display co,"('lg display co ltd', 87)","('lg display co ltd', 100)","('lg display co ltd', 87)","('lg display co ltd', 100)","('lg display co ltd', 100)","('lg display co ltd', 95)"
oppenheimer limited term muni,,,,,,
citigroup venture capital international,,,,,,
market vect env serv fund,,,,,,
harding loevner intl equity inst class,,,,,,
green bay wisconsin g/o ref bonds,,,,,,
t rowe price cap,"('t. rowe price group inc', 72)",,"('t. rowe price group inc', 74)","('t. rowe price group inc', 88)","('t. rowe price group inc', 86)",
brandy trust structured index fund,,,,,,
tpg laf equity partners,,,,,,
citibank usa bank deposit program,,,,,,
michigan education savings plan,,,,,,
ira citizens bank,,,,,,
levinson-levin,,,,,,
huntington banks savings,"('huntington bancshares inc', 73)",,,,,
harris county federal credit union,,,,,,
prisma select fund ii mtg sec,,,,,,
uc savings fund,,,,,,
jpm international value fund,,,,,,
eaton vance worldwide health fund,,,,,,
"rental house/sevierville, tn",,,,,,
abn amro veredus aggressive growth fund,,,,,,
family vacation home,,,,,,
mutual of omaha toolbox,"('mutual of omaha co', 83)","('mutual of omaha co', 94)","('mutual of omaha co', 73)","('mutual of omaha co', 83)","('mutual of omaha co', 91)",
rcn,,"('rcn corp', 100)","('rcn corp', 55)","('rcn corp', 100)","('rcn corp', 100)","('rcn corp', 90)"
fidelity nsdq composite index tracking,"('fidelity nasdaq composite index tracking stock', 90)","('fidelity nasdaq composite index tracking stock', 95)","('fidelity nasdaq composite index tracking stock', 90)","('fidelity nasdaq composite index tracking stock', 87)","('fidelity nasdaq composite index tracking stock', 93)","('fidelity nasdaq composite index tracking stock', 90)"
ubs paine webber ira money funds,"('paine webber group', 64)","('paine webber group', 78)","('paine webber group', 60)",,"('paine webber group', 80)",
"cleveland, oh regional transp auth go bd",,,,,,
brokerage 9,,,,,,
"1 acre/old fairground road edwards, ms",,,,,,
first republic bank/checking,"('first republic bank', 81)","('first republic bank', 100)","('first republic bank', 81)","('first republic bank', 84)","('first republic bank', 100)","('first republic bank', 95)"
locals love us asset of nordic venture partners,,,,,,
wisdomtree global ex us real estate,"('wisdomtree global ex-us real estate fund', 93)","('wisdomtree global ex-us real estate fund', 100)","('wisdomtree global ex-us real estate fund', 93)","('wisdomtree global ex-us real estate fund', 86)","('wisdomtree global ex-us real estate fund', 100)","('wisdomtree global ex-us real estate fund', 95)"
blackrock us opps,,,,,,
northern trust/checking,"('northern trust corp', 76)","('northern trust corp', 84)","('northern trust corp', 76)",,"('northern trust corp', 85)",
limited brands inc,,,,,,
"farm at 497 schofner bridge road, 463 acres",,,,,,
mass investor trust,,,,,,
artisan international growth equity fund,,,,,,
"real property p/200 n. pond/boise, id",,,,,,
franklin templeton age 17-20 years,,,,,,
residential property (not rented)/ruston,,,,,,
current capital automotive inc,,,,,,
battery venture capital,,,,,,
"real estate/lots 1050 & 1052/hanahan, sc",,,,,,
indianola irrevocable trust,,,,,,
pioneer classic balance fund,,,,,,
equitable life insurance cash value,,,,,,
john hancock float rate,,,,,,
currency shares swiss franc tr,"('currencyshares swiss franc trust', 94)","('currencyshares swiss franc trust', 97)","('currencyshares swiss franc trust', 74)",,"('currencyshares swiss franc trust', 94)","('currencyshares swiss franc trust', 94)"
tipp city,,,,,,
cypress energy partners,"('cypress energy partners lp', 94)","('cypress energy partners lp', 100)","('cypress energy partners lp', 94)","('cypress energy partners lp', 87)","('cypress energy partners lp', 100)","('cypress energy partners lp', 95)"
bhp bililton,"('bhp billiton ltd', 79)","('bhp billiton ltd', 92)","('bhp billiton ltd', 79)","('bhp billiton ltd', 92)","('bhp billiton ltd', 79)","('bhp billiton ltd', 79)"
"1837 dority road/toledo, oh",,,,,,
cbre clarion global real estate,"('cbre clarion global real estate income fund', 84)","('cbre clarion global real estate income fund', 100)","('cbre clarion global real estate income fund', 84)","('cbre clarion global real estate income fund', 84)","('cbre clarion global real estate income fund', 100)","('cbre clarion global real estate income fund', 95)"
brandytrust special equities partners ii,,,,,,
tiaa/cref growth beacon,,,,,,
global power equipment,"('global power equipment group inc', 81)","('global power equipment group inc', 100)","('global power equipment group inc', 81)","('global power equipment group inc', 82)","('global power equipment group inc', 100)","('global power equipment group inc', 95)"
american funds asset allocation,,,,,,
patron capital group iii ltd,,,,,,
temenos grop ag,,,,,,
mass mutual life mass mutual odyssey,,,,,,
all state,,,,,"('all state properties holdings inc', 100)","('all state properties holdings inc', 90)"
john hancock disciplined value midcap fund,,,,,,
university of tx revs financing sys bond,,,,,,
wachovia securities tax exempt,,,,,,
tbhs bank,,,,,,
growth km of america,,,,,,
portable on demand investors llc,,,,,,
ipsco inc,"('ipsco inc.', 100)",,"('ipsco inc.', 100)","('ipsco inc.', 100)","('ipsco inc.', 100)","('ipsco inc.', 100)"
jp morgan international value,,,,,,
fleming properties hearne llc,,,,,,
cambridge investment research,,,,,,
american funds intl growth & income,,,,,,
alger capital appreciation ret opt,,,,,,
cumberland trust & investment co trust,,,,,,
"new york, ny muni bond","('ishares new york muni bond etf', 69)","('ishares new york muni bond etf', 82)","('ishares new york muni bond etf', 71)","('ishares new york muni bond etf', 72)","('ishares new york muni bond etf', 92)","('ishares new york muni bond etf', 87)"
subject to centered for deed,,,,,,
vanguard information technology fund (vgt),"('vanguard information technology etf', 87)","('vanguard information technology etf', 94)","('vanguard information technology etf', 88)","('vanguard information technology etf', 91)","('vanguard information technology etf', 94)","('vanguard information technology etf', 89)"
dfa us small cap,,,,,,
"huntsville, al g/o cap impvt bond",,,,,,
mcgowin park shopping center,,,,,,
crown media holdings,"('crown media holdings inc', 91)","('crown media holdings inc', 100)","('crown media holdings inc', 91)",,"('crown media holdings inc', 100)","('crown media holdings inc', 95)"
director's deferred compensation plan media genera,,,,,,
jpmorgan tax free $ market premier c&s,,,,,,
columbia millimeter communications,,,,,,
"st paul, mn indpt sch dist no g/o bond",,,,,,
basf ag,"('basf se', 71)",,,,"('basf se', 73)",
riversource smaller co growth fund,,,,,,
harding loevner emergina markets portfolio advisor,,,,,,
rogers international commodity fund,,,,,,
intermountain power agcy ut pwr supply,,,,,,
eaton vance tax man glb buy wrt opp fund,,"('eaton vance tax-managed buy-write opportunities fund', 80)","('eaton vance tax-managed global buy-write opportunities fund', 81)",,,
prime fund capital reserves,,,,,,
ez stock,,,,,,
"1 acre/denton, tx",,,,,,
sterling trust serpah partners ii,,,,,,
"toledo, oh sewer system rev bond",,,,,,
pharo macro fund ltd,,,,,,
pimco fixed income global,,,,,,
honda motor ltd,"('honda motor co ltd', 91)","('honda motor co ltd', 80)","('honda motor co ltd', 91)","('honda motor co ltd', 100)","('honda motor co ltd', 100)","('honda motor co ltd', 95)"
invesco growth & income,,,,,,
us senate fcu/sep ira 5 year cd,,,,,,
texas state retirement account,,,,,,
oca inc,,,,,,
tesla motors inc,,,,,,
vb investments/pointe west,,,,,,
ld commodities alpha fund lp,,,,,,
met life pool gic,,,,,,
goldman sachs tr,,,,,,
investor of bank capital corp,,,,,,
cook cnty ii high sch dist no 209 bond,,,,,,
target small company stock index,,,,,,
"newport news, va ser b bond",,,,,,
ubs bank depost account,,,,,,
307 sea island parkway,,,,,,
bennett group,,,,,,
arbitrage funds event,,,,,,
restricted shares,,,,,,
etrade financial ira/cash,,,,,,
lcbs park avenue assoc,,,,,,
spdr blackstone/gso et senior loan,"('spdr blackstone/ gso senior loan etf', 89)","('spdr blackstone/ gso senior loan etf', 91)","('spdr blackstone/ gso senior loan etf', 99)","('spdr blackstone/ gso senior loan etf', 97)","('spdr blackstone/ gso senior loan etf', 99)","('spdr blackstone/ gso senior loan etf', 94)"
vanguard small cap value index,"('vanguard small-cap value etf', 90)","('vanguard small-cap value etf', 89)","('vanguard small-cap value etf', 90)","('vanguard small-cap value etf', 86)","('vanguard small-cap value etf', 92)","('vanguard small-cap value etf', 90)"
usaa federal savings bank account,,,,,,
fidelity mutual fund - us large cap growth equity,,,,,,
first schools credit union,,,,,,
fidelity cash reserve,,,,,,
new york state clean water & drink bond,,,,,,
thomas h lee iv lp,,,,,,
aba retirement funds all cap equity fd,,,,,,
ohio savings bonds series se,,,,,,
govt affairs specialists llc,,,,,,
american funds europacific gr f-2,,,,,,
wi edvest 529 plan fidelity aggressive portfolio,,,,,,
acreage 9 bt archer,,,,,,
university health realty inc trust,"('universal health realty income trust', 89)",,"('universal health realty income trust', 89)","('universal health realty income trust', 91)","('universal health realty income trust', 89)","('universal health realty income trust', 89)"
adr managed futures,,,,,,
us global gold & precious metals,,,,,,
mindspeed technologies,"('mindspeed technologies inc.', 92)","('mindspeed technologies inc.', 100)","('mindspeed technologies inc.', 92)","('mindspeed technologies inc.', 100)","('mindspeed technologies inc.', 100)","('mindspeed technologies inc.', 95)"
matthews asia dividend institutional,,,,,,
td ameritrade bank account,,,,,,
datamyx,,,,,,
vericare management,,,,,,
"mckenna, long & aldridge cash balance",,,,,,
caraustar industries,"('caraustar industries inc', 91)","('caraustar industries inc', 100)","('caraustar industries inc', 91)",,"('caraustar industries inc', 100)","('caraustar industries inc', 95)"
nj state bond,,,,,,
american science & engineering inc,"('american science and engineering inc.', 94)","('american science and engineering inc.', 91)","('american science and engineering inc.', 94)",,"('american science and engineering inc.', 100)","('american science and engineering inc.', 95)"
farm land/butler county,,,,,,
oz asia,,,,,,
nbt bank ira of william l owens,,,,,,
great western mutual pension,,,,,,
universal health services,"('universal health services inc.', 93)","('universal health services inc.', 100)","('universal health services inc.', 93)",,"('universal health services inc.', 100)","('universal health services inc.', 95)"
southwest securities fsb bank insured de,,,,,,
goldman sachs growth oppor fund,,,,,,
exon corp,,,,,,
litman gregory masters intl fd,,,,,,
hpt holdings llc,,,,,,
ishares national amt-free muni bond,"('ishares national muni bond etf', 80)",,"('ishares national muni bond etf', 86)","('ishares national muni bond etf', 90)","('ishares national muni bond etf', 93)","('ishares national muni bond etf', 88)"
fed auto government cash reserves,"('acm government securities', 62)","('vereit inc', 70)","('acm government securities', 66)","('acm government securities', 71)","('acm government securities', 66)","('auto graphics inc', 86)"
cboe holdings,"('cboe holdings inc', 87)","('cboe holdings inc', 100)","('cboe holdings inc', 87)","('cboe holdings inc', 100)","('cboe holdings inc', 100)","('cboe holdings inc', 95)"
synergistic software solutions,,,,,,
pennsylvania higher ed bond,,,,,,
gs concentrated international equity fnd,,,,,,
county of bucks employee retirment,,,,,,
"9 jefferson street/warwick, ri",,,,,,
morgan stanley if small,"('morgan stanley', 76)","('morgan stanley', 100)","('morgan stanley', 76)",,"('morgan stanley', 100)","('morgan stanley', 90)"
mellon private asset mgmt profit sharing,,,,,,
marshall tax free money market,,,,,,
chesapeake va rfdg water & sewer,,,,,,
robert w baird co,,,,,,
balanced port,,,,,,
michigan education savings program match account o,,,,,,
industrial select sector spdr,"('industrial select sector spdr fund (the)', 85)","('industrial select sector spdr fund (the)', 100)","('industrial select sector spdr fund (the)', 87)","('industrial select sector spdr fund (the)', 100)","('industrial select sector spdr fund (the)', 100)","('industrial select sector spdr fund (the)', 95)"
oak ridge small cap growth fund,,,,,,
fidelity advis ser,,,,,,
port auth ny & nj 122nd ser-amt bond,,,,,,
109 w 8th ave,,,,,,
t rowe price international stock,,,,,,
fidelity individual cash deposits,,,,,,
bridge county bond,,,,,,
ing fixed accountprovider: ing ,,,,,,
psp land development,,,,,,
ishares msci eaf,"('ishares msci eafe etf', 86)",,"('ishares msci eafe etf', 86)",,,
"316 g street, se home",,,,,,
"faribault, mn indpt sch no 656 alt facs",,,,,,
dignity health,,,,,,
eaton vance ta gl-g-m fund,,,,,,
"829-831 10th ave/imperial beach, ca",,,,,,
morgan stanley money market account,,,,,,
prudential financial,"('prudential financial inc', 91)","('prudential financial inc', 100)","('prudential financial inc', 91)",,"('prudential financial inc', 100)","('prudential financial inc', 95)"
nuveen nwq multi cap value fund,,,,,,
"installment receivable - dietz trott, llc, farming",,,,,,
ishares core msci eafe etf,,,"('ishares msci eafe etf', 89)","('ishares msci eafe etf', 100)","('ishares msci eafe etf', 100)","('ishares msci eafe etf', 95)"
pioneer series trust iii,,,,,,
8 waterview court/south salem,,,,,,
putnam asset allocation growth,,,,,,
"farm/madison, al",,,,,,
dawson geophysical,"('dawson geophysical co', 92)","('dawson geophysical co', 100)","('dawson geophysical co', 92)","('dawson geophysical co', 100)","('dawson geophysical co', 100)","('dawson geophysical co', 95)"
adamis pharmaceuticals,"('adamis pharmaceuticals corp', 90)","('adamis pharmaceuticals corp', 100)","('adamis pharmaceuticals corp', 90)",,"('adamis pharmaceuticals corp', 100)","('adamis pharmaceuticals corp', 95)"
skyview partners llp/apartment bldg 1,,,,,,
lodgenet entertainment,,,,,,
eaton vance global fund,,,,,,
amen inter,,,,,,
western asset smash series m fund,,,,,,
"manatee county, fl rev bond",,,,,,
fidelity equity income fund,,,,,,
licensed retirement housing,,,,,,
state of delaware g/o bond,,,,,,
bristol growth,,,,,,
nationwide mid cap market index,,,,,,
sirona dental system,"('sirona dental systems inc', 89)",,"('sirona dental systems inc', 89)",,"('sirona dental systems inc', 89)",
range resources,"('range resources corp.', 86)","('range resources corp.', 100)","('range resources corp.', 86)","('range resources corp.', 100)","('range resources corp.', 100)","('range resources corp.', 95)"
cohen & steer rlty shares inc fund,"('cohen & steers realty income fund', 81)",,"('cohen & steers realty income fund', 79)",,,
oppenh glbl opp fund,,,,,,
dividend & growth,,,,,,
dreyfus vip appreciation fund,,,,,,
givaudan,,,,,,
hartford hernando county sheriff def,,,,,,
aim core equity income fund,,,,,,
172 youville rd/manchester nh,,,,,,
northwestern mutual life insurance whole,"('northwestern mutual life insurance co (the)', 90)","('northwestern mutual life insurance co (the)', 90)","('northwestern mutual life insurance co (the)', 91)","('northwestern mutual life insurance co (the)', 95)","('northwestern mutual life insurance co (the)', 92)","('northwestern mutual life insurance co (the)', 90)"
jrw ii llc,,,,,,
"fresno, ca swm bond",,,,,,
smith barney citigroup money market,,,,,,
vanguard pa money market,,,,,,
janus global research,,,,,,
axa 500 managed volatility,,,,,,
ishares s&p mid cap 400 barra value fund,"('ishares s&p mid-cap 400 value etf', 85)","('ishares s&p mid-cap 400 value etf', 82)","('ishares s&p mid-cap 400 value etf', 85)",,"('ishares s&p mid-cap 400 value etf', 94)","('ishares s&p mid-cap 400 value etf', 89)"
tomkins pls,,,,,,
diamond offshore drilling,"('diamond offshore drilling inc.', 93)","('diamond offshore drilling inc.', 100)","('diamond offshore drilling inc.', 93)","('diamond offshore drilling inc.', 84)","('diamond offshore drilling inc.', 100)","('diamond offshore drilling inc.', 95)"
lane gate road property,,,,,,
national city cap tr ii 6625,,,,,,
buncombe co bond,,,,,,
marysville mich pub schs dist go,,,,,,
wip - spdr db intl govt infl-protected bond,,,,,,
jpmorgan int'l currency income fund mutual fund,,,,,,
louisiana public employees def comp fund,,,,,,
alliancebernstein international value fd,,,,,,
ishares barclays interm govt,,,,,,
transamerica partners hi yield bond fund,,,,,,
fidelity cash reserves total,,,,,,
artisian mid cap value fund,,,,,,
commerce capital markets/cash,,,,,,
tc lifecycle fund 2020,,,,,,
tpg associates iii lp,,,,,,
illinois ut g/o bond,,,,,,
spdr insurance,"('spdr s&p insurance etf', 78)",,"('spdr s&p insurance etf', 78)",,"('spdr s&p insurance etf', 100)",
morgan stanley emerging markets domestic debt,"('morgan stanley emerging markets domestic debt fund inc', 91)",,"('morgan stanley emerging markets domestic debt fund inc', 91)",,,"('morgan stanley emerging markets domestic debt fund inc', 95)"
nationwide financial,,,,,,
buddy media inc,,,,,,
whitehall street global/silicon vly port,,,,,,
nationwide,,,,,,
am title agency,,,,,,
spackenkill road properties llc,,,,,,
tennessee energy acquisition corp gas rev ser a ma,,,,,,
ira prudential ira money market account,,,,,,
puerto rico elec pwr bond,,,,,,
blum strategic kfb lp,,,,,,
morgan stanley strs cboe djia bywrt indx,,,,,,
vanguard energy fund,"('vanguard energy etf', 87)","('vanguard energy etf', 89)","('vanguard energy etf', 87)","('vanguard energy etf', 84)","('vanguard energy etf', 88)","('vanguard energy etf', 87)"
dimensional advisor real estate secur,,,,,,
templeton growth fund c mutual fund,,,,,,
pioneer oak ridge large cap fund,,,,,,
tiaa-cref inflation-linked bond-retireme,,,,,,
starhub ltd,,,,,,
vanguard ltd term tax exempt admiral fund,,,,,,
heritage financial,,,,,,
tiaa-cref teachers retirement,,,,,,
old abe capital/commercial bldg 6,,,,,,
boynton waters fund holdings llc,,,,,,
2400 tech center llc,,,,,,
pvit corp,,,,,,
"90+acres/wright township, pa",,,,,,
"princeton, wv hosp rev rfdg princeton bd",,,,,,
tempelton developing markets trust,,,,,,
mfs ser trust value fund,,,,,,
nuveen ariz divid advantage muni fund,"('nuveen arizona dividend advantage municipal fund', 87)","('nuveen arizona dividend advantage municipal fund', 84)","('nuveen arizona dividend advantage municipal fund', 87)","('nuveen arizona dividend advantage municipal fund', 81)","('nuveen arizona dividend advantage municipal fund', 87)","('nuveen arizona dividend advantage municipal fund', 87)"
"northrim bank (child 2)(anchorage, ak)/savings",,,,,,
ishares msci cda,"('ishares msci canada etf', 82)","('ishares msci canada etf', 94)","('ishares msci canada etf', 82)",,,
"queen anne's county, md muni bond",,,,,,
rentmethod inc,,,,,,
north east texas ind sch dist bond,,,,,,
"will county, il cmnty usd bond",,,,,,
